date,category,product,broadcast_time,sales,orders,host
2026-04-15,건강,콜라겐 파우더,20:31,21994405,166,이지은
2026-04-15,식품,프리미엄 카레,19:38,19176642,114,최지우
2026-04-15,주방,토스터,20:35,8970027,207,박보검
2026-04-15,가전,공기청정기,20:12,22381363,199,김혜수
2026-04-16,주방,논스틱 팬,20:11,24260624,166,장나라
2026-04-16,패션,럭셔리 핸드백,20:29,6712405,99,이준호
2026-04-16,주방,토스터,21:04,24904957,265,이준호
2026-04-16,가전,식기세척기,21:30,6957116,69,박보검
2026-04-16,식품,프리미엄 카레,20:17,18618688,63,장나라
2026-04-17,가전,미니 냉장고,21:50,21723398,108,김혜수
2026-04-17,패션,캐시미어 스웨터,20:12,21909797,128,박보검
2026-04-17,주방,전기 포트,19:21,9421539,289,이지은
2026-04-17,주방,전기 포트,21:43,7003572,130,이준호
2026-04-17,건강,오메가3,19:12,22015329,246,이준호
2026-04-18,가전,공기청정기,19:57,9959831,266,장나라
2026-04-18,건강,오메가3,19:23,24707025,246,이준호
2026-04-18,패션,겨울 부츠,19:21,15075089,278,원더우먼
2026-04-18,패션,겨울 부츠,19:15,28732682,270,김혜수
2026-04-18,가전,미니 냉장고,20:57,16041613,201,이준호
2026-04-19,가전,공기청정기,21:53,20027595,270,최지우
2026-04-19,가전,미니 냉장고,19:19,13562665,259,장나라
2026-04-19,패션,무지 티셔츠,19:54,17850736,270,원더우먼
2026-04-19,가전,무선 이어폰,19:16,27077823,297,김혜수
2026-04-19,건강,콜라겐 파우더,20:18,15003646,186,김혜수
2026-04-20,식품,유기농 꿀,21:51,15684789,286,박보검
2026-04-20,건강,콜라겐 파우더,20:09,17028613,131,박보검
2026-04-20,주방,무선 믹서기,20:07,9780845,205,신정호
2026-04-20,건강,루테인 영양제,19:26,13416212,113,박보검
2026-04-20,패션,캐시미어 스웨터,21:51,19897337,150,신정호
2026-04-21,주방,전기 포트,20:26,14381204,94,박보검
2026-04-21,주방,토스터,19:32,21237527,93,장나라
2026-04-21,패션,슬림핏 청바지,21:20,12510842,238,신정호
2026-04-21,건강,홍삼 에너지,20:02,24100664,283,원더우먼
2026-04-21,가전,무선 이어폰,21:00,17382686,68,김혜수
2026-04-22,가전,식기세척기,20:03,23689163,206,최지우
2026-04-22,패션,겨울 부츠,21:10,20626457,190,원더우먼
2026-04-22,건강,콜라겐 파우더,21:49,16937725,107,이준호
2026-04-22,주방,스텐 냄비 세트,21:39,8985424,288,이준호
2026-04-22,패션,슬림핏 청바지,20:32,10460678,216,최지우
2026-04-23,가전,미니 냉장고,21:12,8116370,246,원더우먼
2026-04-23,주방,무선 믹서기,21:34,23623770,72,이지은
2026-04-23,식품,유기농 꿀,21:53,14179743,92,장나라
2026-04-23,주방,토스터,19:25,16317809,209,김혜수
2026-04-23,가전,식기세척기,20:23,20897345,221,장나라
2026-04-24,식품,유기농 꿀,19:47,23865863,265,박보검
2026-04-24,가전,공기청정기,19:21,17784838,240,신정호
2026-04-24,주방,전기 포트,21:07,21346142,273,최지우
2026-04-24,패션,슬림핏 청바지,20:00,23135811,231,이준호
2026-04-24,가전,공기청정기,20:47,16254410,111,원더우먼
2026-04-25,주방,무선 믹서기,21:29,11239066,96,장나라
2026-04-25,식품,와인 선물세트,20:37,29516104,130,박보검
2026-04-25,패션,슬림핏 청바지,19:48,17968775,222,김혜수
2026-04-25,가전,공기청정기,19:34,16541174,75,신정호
2026-04-25,가전,무선 청소기,19:55,19835449,234,원더우먼
2026-04-26,식품,프리미엄 올리브유,21:34,9407040,108,박보검
2026-04-26,건강,오메가3,20:31,12031272,178,김혜수
2026-04-26,식품,유기농 꿀,20:19,12493980,110,이준호
2026-04-26,패션,캐시미어 스웨터,20:50,24784345,284,최지우
2026-04-26,식품,초콜릿 선물세트,19:37,17191345,116,최지우
2026-04-27,건강,비타민 종합제,21:53,21303578,295,신정호
2026-04-27,식품,초콜릿 선물세트,20:29,22406383,94,원더우먼
2026-04-27,식품,초콜릿 선물세트,19:58,24571627,208,원더우먼
2026-04-27,패션,겨울 부츠,20:41,17007041,196,최지우
2026-04-27,건강,콜라겐 파우더,19:34,15895525,165,이준호
2026-04-28,패션,무지 티셔츠,21:37,18540915,177,이지은
2026-04-28,주방,스텐 냄비 세트,21:03,9972317,120,신정호
2026-04-28,주방,전기 포트,21:28,8219108,143,이준호
2026-04-28,건강,홍삼 에너지,20:04,12679379,117,원더우먼
2026-04-28,건강,오메가3,19:11,22615912,165,최지우
2026-04-29,패션,무지 티셔츠,21:05,8747456,138,박보검
2026-04-29,패션,슬림핏 청바지,20:19,11704553,58,최지우
2026-04-29,식품,유기농 꿀,20:46,5204703,53,김혜수
2026-04-29,식품,유기농 꿀,20:13,6297957,233,이지은
2026-04-29,주방,전기 포트,19:42,21846665,182,신정호
2026-04-30,패션,캐시미어 스웨터,21:44,13282399,159,이지은
2026-04-30,건강,콜라겐 파우더,21:09,18021945,224,김혜수
2026-04-30,패션,겨울 부츠,20:19,18361025,154,이지은
2026-04-30,주방,논스틱 팬,21:55,8234648,120,김혜수
2026-04-30,주방,토스터,19:37,20664546,111,이준호
